,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.1405353260254977,-0.13634492083577238,-0.21594490568493624,-0.017252481536518767,-0.2180582042840345,0.008601411330687569
f1,-0.1405353260254977,1.0,0.6918208263738385,0.2746011951386995,0.014561672290916775,0.32055266271125893,-0.036550372792230244
f2,-0.13634492083577238,0.6918208263738385,1.0,0.33517212239007066,0.021461910537623752,0.27629558593962256,-0.02073954238320758
f3,-0.21594490568493624,0.2746011951386995,0.33517212239007066,1.0,0.2704035037922855,0.10286190884010202,-0.009050499304695432
f4,-0.017252481536518777,0.014561672290916728,0.021461910537623773,0.2704035037922876,1.0,-0.0014913845865523019,-0.0004380973771241673
f5,-0.2180582042840346,0.3205526627112593,0.2762955859396224,0.10286190884010209,-0.0014913845865523019,1.0,0.5330568961177066
f6,0.008601411330687564,-0.03655037279223025,-0.020739542383207615,-0.009050499304695437,-0.0004380973771241673,0.5330568961177066,1.0
