,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.020411057472646797,-0.1288817381601457,-0.14969493267160064,0.0,-0.12157738956560518,0.020054369019900754
f1,-0.020411057472646797,1.0,0.5088043033392236,0.21103394590233074,0.0,0.12102505348385917,-0.02858457753691143
f2,-0.1288817381601457,0.5088043033392236,1.0,0.3592498817495401,0.0,0.16573984974791758,-0.013104937905641777
f3,-0.14969493267160064,0.21103394590233074,0.3592498817495401,1.0,0.0,0.0669873114486256,-0.006327549749196844
f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f5,-0.12157738956560518,0.1210250534838593,0.16573984974791744,0.06698731144862564,0.0,1.0,0.7986195734826844
f6,0.020054369019900754,-0.02858457753691141,-0.013104937905641784,-0.006327549749196844,0.0,0.7986195734826844,1.0
