rank,idx,feature,weight
1,3,f3,0.18619496164008828
2,5,f5,0.17057562581447014
3,4,f4,0.14826699993287815
4,1,f1,0.14796416102411278
5,6,f6,0.14245025651339552
6,2,f2,0.1313239714237913
7,0,f0,0.07322402365126389
