,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.06442328509451645,-0.12586242594225314,-0.1740912230073986,-0.022225799320033716,-0.15820839256539204,0.01991921419949172
f1,-0.06442328509451645,1.0,0.6080507289230777,0.23015361187882064,0.017023985577569515,0.19194551694030118,-0.03114315130636509
f2,-0.12586242594225314,0.6080507289230777,1.0,0.3309439191435613,0.029643652368156186,0.19329393888091517,-0.016473867584599913
f3,-0.1740912230073986,0.23015361187882064,0.3309439191435613,1.0,0.3929475141640624,0.06831173347396599,-0.007376048887443588
f4,-0.022225799320033737,0.017023985577569477,0.029643652368155984,0.3929475141640644,1.0,-0.00100908690805943,-0.0004615218689412095
f5,-0.15820839256539207,0.19194551694030126,0.19329393888091498,0.06831173347396599,-0.00100908690805943,1.0,0.713162734352332
f6,0.01991921419949172,-0.031143151306365108,-0.016473867584599906,-0.007376048887443592,-0.0004615218689412095,0.713162734352332,1.0
