,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.05054352748227288,-0.12979217889484762,-0.16478199339572025,-0.02376701765327587,-0.14294543616509758,0.0207464486993871
f1,-0.05054352748227288,1.0,0.5707284602217868,0.2181125437633796,0.017505502790933502,0.15818127187475056,-0.029927585697052964
f2,-0.12979217889484762,0.5707284602217868,1.0,0.3352473371460965,0.03291997026356046,0.17778753393798755,-0.015100480016330147
f3,-0.16478199339572025,0.2181125437633796,0.3352473371460965,1.0,0.42456310963382027,0.062127752397882104,-0.006810606736266911
f4,-0.0237670176532759,0.017505502790933433,0.03291997026356023,0.42456310963381577,1.0,-0.0009095611473894751,-0.0004634767811159547
f5,-0.14294543616509764,0.15818127187475067,0.17778753393798785,0.062127752397882034,-0.0009095611473894751,1.0,0.7526220583201251
f6,0.020746448699387098,-0.029927585697052964,-0.015100480016330145,-0.006810606736266913,-0.0004634767811159547,0.7526220583201251,1.0
