rank,idx,feature,r_ft,abs_r_ft
1,0,f0,0.21262219036411925,0.21262219036411925
2,5,f5,-0.028888832968273572,0.028888832968273572
3,3,f3,-0.027912136593048666,0.027912136593048666
4,2,f2,-0.026683139771701652,0.026683139771701652
5,1,f1,-0.025393957938059448,0.025393957938059448
6,6,f6,0.007975393099522247,0.007975393099522247
7,4,f4,-0.004930499532893219,0.004930499532893219
