,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.19046566389678762,-0.20606562172674167,-0.19957748633290948,-0.04562032093553571,-0.22478944697098563,0.01200340164200117
f1,-0.19046566389678762,1.0,0.6329664323395222,0.2543728483470032,0.038838258129943806,0.29786075998627715,-0.037648109308346556
f2,-0.20606562172674167,0.6329664323395222,1.0,0.33825186730104917,0.06321105591871495,0.29578024776618034,-0.020040408828542088
f3,-0.19957748633290948,0.2543728483470032,0.33825186730104917,1.0,0.6323918322141763,0.12235040488782971,-0.008836923606214672
f4,-0.045620320935535696,0.03883825812994375,0.06321105591871493,0.6323918322141755,1.0,0.05730467860421244,-0.001231008890255012
f5,-0.22478944697098557,0.2978607599862771,0.29578024776618095,0.1223504048878296,0.05730467860421244,1.0,0.5645678826014219
f6,0.012003401642001175,-0.03764810930834657,-0.020040408828542078,-0.008836923606214677,-0.001231008890255012,0.5645678826014219,1.0
