,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.1584381942097979,-0.23139474638883845,-0.21364716345675194,-0.07311463283550954,-0.22350290187774774,-0.020391183159576845
f1,-0.1584381942097979,1.0,0.6458525487458147,0.29901723547732856,0.052514062353446904,0.38155491215113363,-0.06667190196782996
f2,-0.23139474638883845,0.6458525487458147,1.0,0.38080113362463003,0.08166562505337881,0.3293255455541883,-0.032589958136413175
f3,-0.21364716345675194,0.29901723547732856,0.38080113362463003,1.0,0.6556229341323073,0.07806579770818613,-0.015943176831100206
f4,-0.07311463283550952,0.052514062353446835,0.08166562505337856,0.6556229341323072,1.0,0.0554798235313523,-0.0026647389912830334
f5,-0.22350290187774766,0.38155491215113385,0.3293255455541877,0.07806579770818614,0.0554798235313523,1.0,0.29174524379265154
f6,-0.02039118315957685,-0.06667190196782997,-0.03258995813641316,-0.0159431768311002,-0.0026647389912830334,0.29174524379265154,1.0
