rank,idx,feature,r_ft,abs_r_ft
1,1,f1,-0.16268769670268535,0.16268769670268535
2,2,f2,-0.072404752781525,0.072404752781525
3,5,f5,-0.05775887782674592,0.05775887782674592
4,0,f0,0.043710975713310035,0.043710975713310035
5,6,f6,-0.029482554504077024,0.029482554504077024
6,3,f3,-0.008255373320988756,0.008255373320988756
7,4,f4,-0.0017753670260527371,0.0017753670260527371
