rank,idx,feature,weight
1,5,f5,0.18706316513235202
2,3,f3,0.18203424345322777
3,6,f6,0.14824795162625393
4,4,f4,0.14763606330958592
5,1,f1,0.13554065068789842
6,2,f2,0.12130189552204608
7,0,f0,0.07817603026863593
