rank,idx,feature,weight
1,5,f5,0.19268220448387913
2,3,f3,0.1794742568573158
3,6,f6,0.147223768446184
4,4,f4,0.14662879866393436
5,1,f1,0.1307150140561257
6,2,f2,0.11951769547841078
7,0,f0,0.0837582620141503
