,reward,episode_len
0,-308.7482408415526,243
1,-314.8140006689355,266
2,-260.6493608392775,256
3,-186.47736033424735,391
4,-115.57080017961562,241
5,-88.28375994972885,241
6,-113.23008120059967,241
7,-186.92279947549105,327
8,-69.31968052312732,241
9,-403.85639903275296,303
