,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.20440351134923163,-0.1959852611351352,-0.1952629490208114,-0.0561142392547899,-0.23783591855836464,0.008687288490580957
f1,-0.20440351134923163,1.0,0.6635893889617533,0.2340707274372985,0.04597556427420083,0.3352703508018662,-0.03251045411468582
f2,-0.1959852611351352,0.6635893889617533,1.0,0.3098175674936642,0.07036870158069505,0.32451313673178567,-0.018453327331870082
f3,-0.1952629490208114,0.2340707274372985,0.3098175674936642,1.0,0.6637632497944508,0.09612016629978036,-0.006962730597589093
f4,-0.05611423925478989,0.04597556427420096,0.07036870158069489,0.6637632497944529,1.0,-0.0006687909919903092,-0.0012850215931283259
f5,-0.23783591855836456,0.33527035080186607,0.32451313673178495,0.09612016629978026,-0.0006687909919903092,1.0,0.5348902153654518
f6,0.008687288490580961,-0.032510454114685824,-0.018453327331870082,-0.0069627305975890905,-0.0012850215931283259,0.5348902153654518,1.0
