rank,idx,feature,weight
1,5,f5,0.19618965227213686
2,3,f3,0.17228379510658098
3,6,f6,0.15457027141091706
4,4,f4,0.14392160078314017
5,1,f1,0.12868947358816712
6,2,f2,0.11968666019732063
7,0,f0,0.08465854664173714
