rank,idx,feature,r_ft,abs_r_ft
1,0,f0,0.1444814907937315,0.1444814907937315
2,1,f1,-0.04981323237527179,0.04981323237527179
3,2,f2,-0.0376702507031706,0.0376702507031706
4,3,f3,-0.03576223800338693,0.03576223800338693
5,5,f5,-0.022668564999017576,0.022668564999017576
6,4,f4,-0.010175763385510959,0.010175763385510959
7,6,f6,0.000705411348377095,0.000705411348377095
