,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.24084388924012784,-0.20587183140860885,-0.21164810496701061,-0.055411103318113074,-0.24381304098558118,0.0009768757340581353
f1,-0.24084388924012784,1.0,0.6919506161484358,0.27479628551543944,0.04835885611728386,0.40551428838020376,-0.04385179681612669
f2,-0.20587183140860885,0.6919506161484358,1.0,0.34171217785341423,0.07037512998823521,0.35288023656531703,-0.024431207023217924
f3,-0.21164810496701061,0.27479628551543944,0.34171217785341423,1.0,0.6307745302474572,0.1075755967383395,-0.01024153492210839
f4,-0.055411103318113074,0.04835885611728377,0.07037512998823543,0.6307745302474584,1.0,0.03264995495318908,-0.0017177437886908907
f5,-0.24381304098558107,0.4055142883802029,0.3528802365653172,0.10757559673833965,0.03264995495318908,1.0,0.42004403705807813
f6,0.0009768757340581323,-0.04385179681612667,-0.0244312070232179,-0.010241534922108391,-0.0017177437886908907,0.42004403705807813,1.0
