rank,idx,feature,weight
1,5,f5,0.20231100156112405
2,3,f3,0.17549410039891006
3,6,f6,0.15598216120249214
4,4,f4,0.14605506924197276
5,1,f1,0.1213713190343762
6,2,f2,0.11705643288406042
7,0,f0,0.08172991567706445
