rank,idx,feature,r_ft,abs_r_ft
1,0,f0,0.1554320139201015,0.1554320139201015
2,1,f1,-0.05105238354694644,0.05105238354694644
3,3,f3,-0.03595924397758738,0.03595924397758738
4,2,f2,-0.034193718148062234,0.034193718148062234
5,5,f5,-0.023376954829957237,0.023376954829957237
6,4,f4,-0.0094354991112261,0.0094354991112261
7,6,f6,0.00035430279821520473,0.00035430279821520473
