,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.18376010645527924,-0.23637110287095692,-0.21857966093475015,-0.06750668962853722,-0.23020993887948774,-0.020105798018006587
f1,-0.18376010645527924,1.0,0.6609965706632316,0.291693033520633,0.05297004344012409,0.4133609520441599,-0.058016259332972595
f2,-0.23637110287095692,0.6609965706632316,1.0,0.3761929171986575,0.08052267758422177,0.35403346012752696,-0.02928666875142164
f3,-0.21857966093475015,0.291693033520633,0.3761929171986575,1.0,0.635270956784286,0.08893747481435231,-0.013569218036335881
f4,-0.06750668962853723,0.05297004344012405,0.08052267758422176,0.6352709567842857,1.0,0.05036506737390568,-0.002357079882374359
f5,-0.23020993887948765,0.41336095204415946,0.35403346012752684,0.08893747481435221,0.05036506737390568,1.0,0.3124400434058244
f6,-0.02010579801800659,-0.05801625933297262,-0.029286668751421656,-0.013569218036335899,-0.002357079882374359,0.3124400434058244,1.0
