feature,r_ft
f0,0.16291539694877924
f1,-0.03905200924455887
f2,-0.019685468638360747
f3,-0.028598447583545027
f4,-0.005145695909491428
f5,-0.0054722584303714145
f6,-0.00010065427851195937
