,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.21743861528780264,-0.18798065166940917,-0.19516309732696097,-0.055952452357590506,-0.23923240819352407,0.004691905235971368
f1,-0.21743861528780264,1.0,0.6880267074704857,0.24024120542522204,0.046683907565931916,0.356095727853624,-0.03451986526449644
f2,-0.18798065166940917,0.6880267074704857,1.0,0.30573419250568123,0.06860128467073318,0.33242688048741514,-0.020059116238916083
f3,-0.19516309732696097,0.24024120542522204,0.30573419250568123,1.0,0.6652193402369433,0.0993156608814864,-0.007518361259869881
f4,-0.05595245235759049,0.04668390756593184,0.06860128467073304,0.6652193402369447,1.0,0.008756457089726813,-0.0013671282363913325
f5,-0.23923240819352407,0.3560957278536242,0.33242688048741575,0.09931566088148647,0.008756457089726813,1.0,0.5130907386527517
f6,0.004691905235971363,-0.03451986526449646,-0.020059116238916076,-0.007518361259869884,-0.0013671282363913325,0.5130907386527517,1.0
