rank,idx,feature,weight
1,5,f5,0.17753299131704584
2,3,f3,0.16428091589097868
3,6,f6,0.16275208569370414
4,4,f4,0.14346944024949135
5,2,f2,0.1336945248650967
6,1,f1,0.12336932789261752
7,0,f0,0.09490071409106568
