,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.07158026166282508,-0.08583090752213739,-0.1228407483405889,-0.01980313712815402,-0.19456101534739986,-0.0051903937850811595
f1,-0.07158026166282508,1.0,0.690634653807566,0.21481140102435944,0.01620688749613147,0.376475002673389,-0.035951391314874626
f2,-0.08583090752213739,0.690634653807566,1.0,0.24226073756569821,0.023711292626947916,0.33952488001950293,-0.020547387217447213
f3,-0.1228407483405889,0.21481140102435944,0.24226073756569821,1.0,0.44728890948000666,0.11275021583211298,-0.007986013120364557
f4,-0.019803137128154003,0.016206887496131393,0.023711292626948013,0.447288909480006,1.0,0.055630103975561125,-0.0004819111051359028
f5,-0.19456101534739992,0.3764750026733889,0.33952488001950315,0.11275021583211298,0.055630103975561125,1.0,0.5980755981187365
f6,-0.005190393785081151,-0.03595139131487465,-0.020547387217447213,-0.007986013120364559,-0.0004819111051359028,0.5980755981187365,1.0
