,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.1111595952893936,-0.14366313269861541,-0.15966339601154478,-0.015433107786504563,-0.2260598387677012,-0.024947518572653028
f1,-0.1111595952893936,1.0,0.6546211880417242,0.27196992438678463,0.013037239430901139,0.4687468845799397,-0.04549263795821777
f2,-0.14366313269861541,0.6546211880417242,1.0,0.32127605006277876,0.020001383851576373,0.4041733326151325,-0.0233862781754439
f3,-0.15966339601154478,0.27196992438678463,0.32127605006277876,1.0,0.3209552918216014,0.09073061474829346,-0.010557980077923136
f4,-0.01543310778650456,0.01303723943090117,0.020001383851576415,0.3209552918216012,1.0,0.04074874990623838,-0.00046555219323190383
f5,-0.22605983876770117,0.46874688457993957,0.40417333261513166,0.0907306147482935,0.04074874990623838,1.0,0.4216154695012767
f6,-0.024947518572653024,-0.04549263795821777,-0.023386278175443892,-0.01055798007792314,-0.00046555219323190383,0.4216154695012767,1.0
