rank,idx,feature,r_ft,abs_r_ft
1,0,f0,0.07350138900218559,0.07350138900218559
2,1,f1,-0.03295022941863701,0.03295022941863701
3,5,f5,-0.014421186898659493,0.014421186898659493
4,3,f3,-0.012117532462706292,0.012117532462706292
5,6,f6,-0.008131234806183637,0.008131234806183637
6,4,f4,0.003434674157829062,0.003434674157829062
7,2,f2,0.0006273415445011548,0.0006273415445011548
