rank,idx,feature,weight
1,5,f5,0.19170874619429254
2,3,f3,0.17265322397599722
3,6,f6,0.15641476079372452
4,4,f4,0.14755015537033322
5,1,f1,0.13114299229097945
6,2,f2,0.12707989271183226
7,0,f0,0.07345022866284083
