,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.10524674050473422,-0.12192299188931723,-0.15257566118754853,-0.015939191887132376,-0.2241190790225947,-0.025201846772193538
f1,-0.10524674050473422,1.0,0.6671623688853627,0.26028275930141115,0.013697415573908361,0.4708183099966818,-0.04040418324798764
f2,-0.12192299188931723,0.6671623688853627,1.0,0.3016387541487753,0.020632241090937805,0.40162602179936135,-0.0214160265952787
f3,-0.15257566118754853,0.26028275930141115,0.3016387541487753,1.0,0.34083034754691055,0.09419050355692284,-0.00921002258550748
f4,-0.015939191887132383,0.01369741557390833,0.020632241090937854,0.340830347546912,1.0,0.04373088253357832,-0.0004394999778900117
f5,-0.22411907902259467,0.47081830999668267,0.4016260217993606,0.09419050355692277,0.04373088253357832,1.0,0.4268932073426816
f6,-0.025201846772193538,-0.04040418324798765,-0.021416026595278696,-0.009210022585507474,-0.0004394999778900117,0.4268932073426816,1.0
