rank,idx,feature,weight
1,5,f5,0.1914008801110154
2,3,f3,0.17787705681724397
3,6,f6,0.15089331377374368
4,4,f4,0.1460707506978237
5,1,f1,0.12430450550024653
6,2,f2,0.12095389851863061
7,0,f0,0.08849959458129598
