rank,idx,feature,weight
1,5,f5,0.19367857620534631
2,3,f3,0.17671122596887076
3,6,f6,0.15045597754525153
4,4,f4,0.14721792320281663
5,1,f1,0.1259874711128977
6,2,f2,0.12254965787728483
7,0,f0,0.08339916808753237
