timestep,reward
2048,-6.087878787878788
4096,-5.453333333333334
6144,-4.391
8192,-3.6419999999999995
10240,-3.11
2048,-2.782191780821918
4096,-2.6
6144,-2.5260000000000002
8192,-2.384
10240,-2.261
12288,-2.256
14336,-2.173
16384,-2.1530000000000005
18432,-2.07
20480,-2.0860000000000003
22528,-2.0709999999999997
24576,-2.05
26624,-2.041
28672,-2.0029999999999997
30720,-1.9989999999999997
32768,-2.013
34816,-1.983
36864,-1.9849999999999997
38912,-1.997
40960,-1.985
