timestep,reward
2048,-6.262499999999999
4096,-6.2892307692307705
6144,-6.009999999999999
8192,-5.42
10240,-5.104
2048,-4.748837209302326
4096,-4.634090909090909
6144,-4.382
8192,-4.17
10240,-3.855
12288,-3.6670000000000003
14336,-3.6000000000000005
16384,-3.463
18432,-3.244999999999999
20480,-3.2280000000000006
22528,-3.099
24576,-3.0749999999999993
26624,-3.059
28672,-2.9589999999999996
30720,-2.8409999999999997
