timestep,reward
2048,-5.9147058823529415
4096,-5.454666666666666
6144,-4.513
8192,-3.5379999999999994
10240,-3.142
12288,-2.9019999999999992
14336,-2.695
16384,-2.612
18432,-2.485
20480,-2.5069999999999997
22528,-2.352
24576,-2.2510000000000003
26624,-2.1830000000000003
28672,-2.11
30720,-2.093
32768,-2.075
34816,-2.059
36864,-2.025
38912,-2.007
40960,-2.0199999999999996
