timestep,reward
2048,-6.409677419
4096,-5.778571429
6144,-4.564
8192,-3.614
10240,-3.223
12288,-2.756
14336,-2.576
16384,-2.404
18432,-2.246
20480,-2.144
22528,-2.09
24576,-2.064
26624,-2.048
28672,-2.032
30720,-2.019
32768,-2.014
34816,-2.006
36864,-1.979
38912,-1.958
40960,-1.985
