timestep,reward
50,-7.0
100,-7.45
150,-7.45
200,-7.533333333333334
250,-6.625
300,-6.2
350,-6.2
400,-6.816666666666666
450,-7.142857142857143
500,-7.142857142857143
550,-6.666666666666667
600,-6.666666666666667
650,-6.82
700,-6.590909090909091
750,-6.541666666666667
800,-6.541666666666667
850,-6.792307692307692
900,-6.692857142857143
950,-6.692857142857143
1000,-6.680000000000001
1050,-6.6
1100,-6.6
1150,-6.864705882352941
1200,-6.794444444444443
1250,-6.594736842105262
1300,-6.624999999999998
1350,-6.609523809523809
1400,-6.531818181818181
1450,-6.531818181818181
1500,-6.643478260869564
1550,-6.541666666666667
1600,-6.541666666666667
1650,-6.636
1700,-6.6692307692307695
1750,-6.6692307692307695
1800,-6.55357142857143
1850,-6.50344827586207
1900,-6.49
1950,-6.4225806451612915
2000,-6.334375
2050,-6.334375
2100,-6.372727272727272
2150,-6.3352941176470585
2200,-6.3114285714285705
2250,-6.3
2300,-6.264864864864864
2350,-6.292105263157895
2400,-6.248717948717949
2450,-6.25
2500,-6.25
2550,-6.2317073170731705
2600,-6.273809523809524
2650,-6.269767441860465
2700,-6.269767441860465
2750,-6.269767441860465
2800,-6.372727272727274
2850,-6.44
2900,-6.44
2950,-6.432608695652175
3000,-6.414893617021278
3050,-6.445833333333333
3100,-6.393877551020407
3150,-6.393877551020407
3200,-6.411999999999999
3250,-6.427450980392156
3300,-6.396153846153846
3350,-6.367924528301886
3400,-6.367924528301886
3450,-6.429629629629629
3500,-6.409090909090908
3550,-6.4125000000000005
3600,-6.394736842105263
3650,-6.394736842105263
3700,-6.413793103448276
3750,-6.413793103448276
3800,-6.477966101694915
3850,-6.47
3900,-6.432786885245902
3950,-6.404838709677419
4000,-6.401587301587301
4050,-6.3578125
4100,-6.346153846153846
4150,-6.267164179104477
4200,-6.267164179104477
4250,-6.285294117647059
4300,-6.291304347826086
4350,-6.26
4400,-6.266197183098591
4450,-6.2250000000000005
4500,-6.217808219178083
4550,-6.204054054054055
4600,-6.204054054054055
4650,-6.230666666666667
4700,-6.203947368421052
4750,-6.203896103896104
4800,-6.203896103896104
4850,-6.258974358974359
4900,-6.251898734177215
4950,-6.22625
5000,-6.209876543209877
5050,-6.199999999999999
5100,-6.195180722891566
5150,-6.166666666666665
5200,-6.14235294117647
5250,-6.112790697674418
5300,-6.116091954022988
5350,-6.103409090909091
5400,-6.103370786516854
5450,-6.111111111111111
5500,-6.07912087912088
5550,-6.05
5600,-6.058064516129032
5650,-6.0340425531914885
5700,-6.0221052631578935
5750,-5.996875
5800,-6.006185567010309
5850,-5.955555555555556
5900,-5.948
5950,-5.908
6000,-5.875000000000001
6050,-5.864000000000001
6100,-5.856000000000002
6150,-5.783
6200,-5.783
6250,-5.779000000000001
6300,-5.760000000000002
6350,-5.773000000000001
6400,-5.732
6450,-5.715000000000001
6500,-5.655
6550,-5.655
6600,-5.634999999999999
6650,-5.6160000000000005
6700,-5.517
6750,-5.524000000000001
6800,-5.493000000000002
6850,-5.477
6900,-5.4110000000000005
6950,-5.427
7000,-5.374999999999999
7050,-5.338999999999999
7100,-5.300999999999999
7150,-5.288999999999999
7200,-5.257999999999999
7250,-5.271999999999999
7300,-5.2410000000000005
7350,-5.224
7400,-5.215
7450,-5.198
7500,-5.2010000000000005
7550,-5.155000000000001
7600,-5.127000000000001
7650,-5.061
7700,-5.042000000000001
7750,-4.973
7800,-4.8839999999999995
7850,-4.860999999999999
7900,-4.819999999999999
7950,-4.824000000000001
8000,-4.754999999999999
8050,-4.741999999999999
8100,-4.6659999999999995
8150,-4.647
8200,-4.585000000000001
8250,-4.474
8300,-4.4510000000000005
8350,-4.44
8400,-4.406000000000001
8450,-4.402
8500,-4.391
8550,-4.3839999999999995
8600,-4.3420000000000005
8650,-4.308
8700,-4.274
8750,-4.246
8800,-4.2219999999999995
8850,-4.17
8900,-4.163
8950,-4.058
9000,-4.045999999999999
9050,-4.008
9100,-3.986
9150,-3.9780000000000006
9200,-3.9750000000000005
9250,-3.9560000000000004
9300,-3.903
9350,-3.8640000000000003
9400,-3.8129999999999997
9450,-3.8029999999999995
9500,-3.784
9550,-3.7489999999999997
9600,-3.742
9650,-3.7259999999999995
9700,-3.71
9750,-3.6669999999999994
9800,-3.648999999999999
9850,-3.573
9900,-3.5509999999999997
9950,-3.5180000000000002
10000,-3.509
10050,-3.472
10100,-3.4599999999999995
10150,-3.451
10200,-3.4459999999999997
10250,-3.418
10300,-3.404
10350,-3.38
10400,-3.3609999999999998
10450,-3.363
10500,-3.3640000000000003
10550,-3.349
10600,-3.3250000000000006
10650,-3.302
10700,-3.275
10750,-3.2509999999999994
10800,-3.2350000000000008
10850,-3.2120000000000006
10900,-3.19
10950,-3.1660000000000004
11000,-3.1599999999999993
11050,-3.128
11100,-3.106
11150,-3.086
11200,-3.0779999999999994
11250,-3.077
11300,-3.0720000000000005
11350,-3.055999999999999
11400,-3.0399999999999987
11450,-3.0209999999999995
11500,-2.9959999999999996
11550,-2.9760000000000004
11600,-2.950999999999999
11650,-2.932999999999999
11700,-2.9289999999999994
11750,-2.909
11800,-2.8779999999999997
11850,-2.8720000000000003
11900,-2.8569999999999998
11950,-2.8289999999999997
12000,-2.8120000000000003
12050,-2.7920000000000003
12100,-2.785
12150,-2.7739999999999996
12200,-2.764
12250,-2.744999999999999
12300,-2.7279999999999998
12350,-2.711
12400,-2.704
12450,-2.6989999999999994
12500,-2.6919999999999997
12550,-2.69
12600,-2.6809999999999996
12650,-2.6689999999999996
12700,-2.658000000000001
12750,-2.6559999999999997
12800,-2.639
12850,-2.616999999999999
12900,-2.6
12950,-2.585
13000,-2.5690000000000004
