rank,idx,feature,weight
1,5,f5,0.2113363342580065
2,0,f0,0.19478889616980055
3,1,f1,0.15251510491534287
4,6,f6,0.1524898974262363
5,3,f3,0.15151723397602224
6,2,f2,0.13735253325459146
7,4,f4,0.0
