rank,idx,feature,weight
1,5,f5,0.1851276680572548
2,6,f6,0.1668025297768969
3,3,f3,0.16677583955985448
4,4,f4,0.14642032825013748
5,1,f1,0.1351965420148557
6,2,f2,0.13097085381175932
7,0,f0,0.06870623852924138
