,f0,f1,f2,f3,f4,f5,f6
f0,1.0,0.08873686341738175,0.021816381536097145,-0.04726608763914851,0.0,-0.098275155522695,0.01267242072978968
f1,0.08873686341738175,1.0,0.6731826215673221,0.1984608800530201,0.0,0.199607694184037,-0.031190411626927997
f2,0.021816381536097145,0.6731826215673221,1.0,0.22222851325604118,0.0,0.18020327116440746,-0.01778158648137391
f3,-0.04726608763914851,0.1984608800530201,0.22222851325604118,1.0,0.0,0.08547776474222867,-0.008361747187134545
f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f5,-0.09827515552269502,0.19960769418403723,0.1802032711644075,0.08547776474222853,0.0,1.0,0.7695127052589656
f6,0.012672420729789694,-0.03119041162692799,-0.017781586481373898,-0.008361747187134543,0.0,0.7695127052589656,1.0
