rank,idx,feature,r_ft,abs_r_ft
1,3,f3,-0.03552868680986908,0.03552868680986908
2,0,f0,0.02947498918935624,0.02947498918935624
3,5,f5,-0.02574704780140045,0.02574704780140045
4,1,f1,-0.016912934054305957,0.016912934054305957
5,2,f2,-0.010954412441053664,0.010954412441053664
6,6,f6,-3.160989174528291e-05,3.160989174528291e-05
7,4,f4,0.0,0.0
