rank,idx,feature,weight
1,5,f5,0.20812750299371416
2,0,f0,0.1885438638866122
3,3,f3,0.16505100120400437
4,1,f1,0.15246880300375568
5,6,f6,0.15042943540946033
6,2,f2,0.13537939350245315
7,4,f4,0.0
