rank,idx,feature,weight
1,5,f5,0.20449092324369586
2,0,f0,0.18831215629645254
3,3,f3,0.16804805483584573
4,1,f1,0.1522030231557628
5,6,f6,0.1505593356606416
6,2,f2,0.13638650680760167
7,4,f4,0.0
