,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.011593736714908626,-0.04401412219628756,-0.12537675429505263,-0.0255695578344105,-0.19434220335008048,0.0021271900735178066
f1,-0.011593736714908626,1.0,0.6681054784316636,0.21520642325443962,0.02147771136080943,0.36793223293441923,-0.03553644659751001
f2,-0.04401412219628756,0.6681054784316636,1.0,0.24294473485944873,0.03242306714537482,0.302812964859304,-0.018951502225597352
f3,-0.12537675429505263,0.21520642325443962,0.24294473485944873,1.0,0.6095958405420195,0.13759658166344918,-0.0069384677402441865
f4,-0.02556955783441049,0.021477711360809466,0.03242306714537497,0.6095958405420174,1.0,0.06429253712835538,-0.0006107416191698537
f5,-0.19434220335008048,0.3679322329344188,0.3028129648593041,0.13759658166344915,0.06429253712835538,1.0,0.521440074352182
f6,0.002127190073517796,-0.03553644659751003,-0.018951502225597352,-0.0069384677402441865,-0.0006107416191698537,0.521440074352182,1.0
