rank,idx,feature,weight
1,5,f5,0.19185338378715278
2,3,f3,0.17231329582320148
3,6,f6,0.1562913366070789
4,4,f4,0.14692861568687324
5,1,f1,0.13693391923629453
6,2,f2,0.1330071540655176
7,0,f0,0.06267229479388156
