rank,idx,feature,r_ft,abs_r_ft
1,3,f3,-0.040601956443555756,0.040601956443555756
2,0,f0,0.02569908385692046,0.02569908385692046
3,5,f5,-0.022373134802544273,0.022373134802544273
4,1,f1,-0.015799763729424394,0.015799763729424394
5,2,f2,-0.010203774736072027,0.010203774736072027
6,6,f6,-0.0002192810262964085,0.0002192810262964085
7,4,f4,0.0,0.0
