rank,idx,feature,weight
1,5,f5,0.2240126045629789
2,0,f0,0.220685177517281
3,1,f1,0.16425935197910432
4,6,f6,0.16175104770115747
5,2,f2,0.14846529948979478
6,3,f3,0.0808265187496835
7,4,f4,0.0
