,reward
0,-11.677680969238281
1,-19.27519989013672
2,-12.208518981933594
3,-4.130860328674316
4,-3.7100400924682617
5,-3.9688403606414795
6,-4.282479763031006
7,-3.7206802368164062
8,-2.1123600006103516
9,-0.6025999188423157
10,-0.3242800235748291
11,-0.30859997868537903
12,-0.26603996753692627
13,-0.27275997400283813
14,-0.2884399890899658
15,-0.3399600088596344
