,reward,episode_len
0,-208.19227998020747,75.16666666666667
1,-175.23615950066596,79.5
2,-131.61463991800943,66.83333333333333
3,-295.87279962127405,93.0
4,-35.52380000248862,45.0
5,-39.113440094826124,46.0
6,-26.262480000033975,41.833333333333336
7,-32.238280011961855,37.333333333333336
8,-10.405559997384747,26.166666666666668
9,-1.2866399949416518,20.166666666666668
10,-0.5373599976301193,16.833333333333332
11,-0.37888000160455704,19.0
12,-0.2909599992757042,19.333333333333332
13,-0.2780800039569537,19.0
14,-0.33128000353462994,19.0
