,reward
0,-2.4022796154022217
1,-0.05772000178694725
2,-4.362840175628662
3,-0.05772000178694725
4,-0.05324000492691994
5,-4.855679988861084
6,-0.044280003756284714
7,-2.612520217895508
8,-0.06220000609755516
9,-4.531239986419678
10,-0.044280003756284714
11,-0.044280003756284714
12,-2.1744801998138428
13,-0.05772000551223755
14,-6.344759464263916
15,-0.05772000178694725
16,-0.044280003756284714
17,-3.7191994190216064
18,-0.05772000551223755
19,-2.9303996562957764
20,-0.044280003756284714
21,-2.983079671859741
22,-0.044280003756284714
23,-0.044280003756284714
24,-1.1377999782562256
25,-0.06444000452756882
26,-1.1553601026535034
27,-0.044280003756284714
28,-0.044280003756284714
29,-0.8659197688102722
30,-0.044280003756284714
31,-0.6756798624992371
32,-0.06108000501990318
33,-1.6012001037597656
34,-0.044280003756284714
35,-0.050999999046325684
36,-0.6514800190925598
37,-0.044280003756284714
38,-1.0719599723815918
39,-0.044280003756284714
40,-0.04876000061631203
41,-1.1209601163864136
42,-0.044280003756284714
43,-1.047239899635315
44,-0.044280003756284714
45,-1.4063600301742554
46,-0.044280003756284714
47,-0.044280003756284714
48,-1.3359204530715942
49,-0.044280003756284714
50,-0.050999999046325684
51,-0.044280003756284714
52,-0.043160002678632736
53,-0.044280003756284714
54,-0.044280003756284714
55,-0.044280003756284714
56,-0.044280003756284714
57,-0.044280003756284714
58,-0.044280003756284714
59,-0.04651999846100807
60,-0.04876000061631203
61,-0.044280003756284714
62,-0.044280003756284714
63,-0.044280003756284714
64,-0.05100000277161598
65,-0.044280003756284714
66,-0.044280003756284714
67,-0.05100000277161598
68,-0.044280003756284714
69,-0.054360002279281616
70,-0.04876000061631203
71,-0.044280003756284714
72,-0.044280003756284714
73,-0.044280003756284714
74,-0.05212000384926796
75,-0.044280003756284714
76,-0.06668000668287277
77,-0.044280003756284714
78,-0.044280003756284714
79,-0.044280003756284714
80,-0.044280003756284714
81,-0.044280003756284714
82,-0.049880001693964005
83,-0.044280003756284714
84,-0.044280003756284714
85,-0.044280003756284714
86,-0.044280003756284714
87,-0.044280003756284714
88,-0.04876000061631203
89,-0.044280003756284714
90,-0.050999999046325684
91,-0.044280003756284714
92,-0.044280003756284714
93,-0.044280003756284714
94,-0.044280003756284714
95,-0.044280003756284714
96,-0.044280003756284714
97,-0.04876000061631203
98,-0.044280003756284714
99,-0.044280003756284714
100,-0.044280003756284714
101,-0.05324000120162964
102,-0.044280003756284714
103,-0.044280003756284714
104,-0.044280003756284714
105,-0.044280003756284714
106,-0.044280003756284714
107,-0.044280003756284714
108,-0.044280003756284714
109,-0.044280003756284714
110,-0.05772000178694725
111,-0.044280003756284714
112,-0.044280003756284714
113,-0.07116000354290009
114,-0.044280003756284714
115,-0.04876000061631203
116,-0.044280003756284714
117,-0.04876000061631203
118,-0.044280003756284714
119,-0.044280003756284714
120,-0.05100000277161598
121,-0.044280003756284714
122,-0.044280003756284714
123,-0.05212000384926796
124,-0.044280003756284714
125,-0.044280003756284714
126,-0.044280003756284714
127,-0.044280003756284714
128,-0.04204000532627106
129,-0.044280003756284714
130,-0.044280003756284714
131,-0.044280003756284714
132,-0.044280003756284714
133,-0.04540000483393669
134,-0.044280003756284714
135,-0.04204000532627106
136,-0.044280003756284714
137,-0.044280003756284714
138,-0.044280003756284714
139,-0.04204000532627106
140,-0.04540000483393669
141,-0.044280003756284714
142,-0.05100000277161598
143,-0.04540000483393669
144,-0.044280003756284714
145,-0.044280003756284714
146,-0.044280003756284714
147,-0.044280003756284714
148,-0.044280003756284714
149,-0.044280003756284714
150,-0.062199998646974564
151,-0.044280003756284714
152,-0.05324000120162964
153,-0.044280003756284714
154,-0.044280003756284714
155,-0.044280003756284714
156,-0.04204000160098076
157,-0.044280003756284714
158,-0.050999999046325684
159,-0.044280003756284714
160,-0.044280003756284714
161,-0.044280003756284714
162,-0.05772000178694725
163,-0.044280003756284714
164,-0.044280003756284714
165,-0.05772000551223755
166,-0.044280003756284714
167,-0.059960003942251205
168,-0.044280003756284714
169,-0.044280003756284714
170,-0.05100000277161598
171,-0.044280003756284714
172,-0.04876000061631203
173,-0.04876000061631203
174,-0.044280003756284714
175,-0.04540000483393669
176,-0.044280003756284714
177,-0.044280003756284714
178,-0.048760008066892624
179,-0.044280003756284714
180,-0.044280003756284714
181,-0.04540000483393669
182,-0.044280003756284714
183,-0.044280003756284714
184,-0.04876000061631203
185,-0.04876000061631203
186,-0.044280003756284714
