,reward,episode_len
0,-41.664159855494894,110.66666666666667
1,-48.88787999687096,111.33333333333333
2,-41.13872006069869,91.5
3,-21.91599997567634,62.666666666666664
4,-14.59736003788809,53.166666666666664
5,-11.619520018808544,66.66666666666667
6,-4.238120010122657,31.666666666666668
7,-0.5693600034962097,25.0
8,-0.16000000294297934,13.833333333333334
9,-0.491519995033741,24.666666666666668
10,-0.31512000629057485,25.333333333333332
11,-0.4175999943787853,25.166666666666668
12,-0.3442399906925857,24.0
13,-0.2994400045524041,24.833333333333332
14,-0.5251200043906769,24.0
15,-0.5200800002397349,24.0
16,-0.26808000604311627,24.0
