rank,idx,feature,r_ft,abs_r_ft
1,1,f1,-0.17034977524958114,0.17034977524958114
2,2,f2,-0.12256329068545062,0.12256329068545062
3,3,f3,-0.07054377661387376,0.07054377661387376
4,0,f0,0.06613401699868972,0.06613401699868972
5,4,f4,-0.026465560325228114,0.026465560325228114
