rank,idx,feature,r_ft,abs_r_ft
1,1,f1,-0.15992712656018693,0.15992712656018693
2,2,f2,-0.09772538512439027,0.09772538512439027
3,0,f0,0.07284238675498911,0.07284238675498911
4,3,f3,-0.04920166136269404,0.04920166136269404
5,4,f4,-0.025554359032452116,0.025554359032452116
