,f0,f1,f2,f3,f4
f0,1.0,-0.09074393859793496,-0.10906228155500484,-0.1771959062104317,0.013562412542296811
f1,-0.09074393859793496,1.0,0.6703816757009564,0.22584093917038436,-0.030865935449551008
f2,-0.10906228155500484,0.6703816757009564,1.0,0.21394604198781134,-0.018162976995042168
f3,-0.1771959062104317,0.22584093917038436,0.21394604198781134,1.0,0.6633575631528409
f4,0.013562412542296813,-0.030865935449550994,-0.01816297699504217,0.6633575631528404,1.0
