,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.08080137217448644,-0.10787814162807574,-0.16516781483931206,-0.02371196070982391,-0.21526061050291345,0.002138929479447133
f1,-0.08080137217448644,1.0,0.6613218360893839,0.26062179678674385,0.021274552675084536,0.3536250578284787,-0.03307751755161691
f2,-0.10787814162807574,0.6613218360893839,1.0,0.33060377424642184,0.03362062408377821,0.2829390795759353,-0.0183639047034312
f3,-0.16516781483931206,0.26062179678674385,0.33060377424642184,1.0,0.43558307623942966,0.12659019250605424,-0.008462408292264396
f4,-0.023711960709823912,0.02127455267508449,0.033620624083778236,0.4355830762394321,1.0,0.0637144444909044,-0.0005911812368114415
f5,-0.2152606105029135,0.3536250578284785,0.2829390795759359,0.12659019250605422,0.0637144444909044,1.0,0.49037510184149735
f6,0.00213892947944713,-0.03307751755161692,-0.018363904703431216,-0.0084624082922644,-0.0005911812368114415,0.49037510184149735,1.0
