rank,idx,feature,weight
1,5,f5,0.20155221189471334
2,3,f3,0.18337466331274482
3,6,f6,0.14963906326848445
4,4,f4,0.14418854968053055
5,1,f1,0.11970134833874876
6,2,f2,0.10806580266515363
7,0,f0,0.09347836083962441
