rank,idx,feature,weight
1,5,f5,0.19180566942278995
2,3,f3,0.17956500121459967
3,6,f6,0.15441207393802697
4,4,f4,0.14232903287928042
5,1,f1,0.12057506488456855
6,2,f2,0.10890169455028555
7,0,f0,0.10241146311044874
