rank,idx,feature,r_ft,abs_r_ft
1,0,f0,0.0786144959925612,0.0786144959925612
2,1,f1,-0.02837384279687313,0.02837384279687313
3,4,f4,0.026884770873231812,0.026884770873231812
4,5,f5,-0.007715081003018846,0.007715081003018846
5,3,f3,-0.0026906079418853594,0.0026906079418853594
6,2,f2,0.002115792742560518,0.002115792742560518
7,6,f6,0.0015568085286547478,0.0015568085286547478
