,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.12081053774925839,-0.13555297567926985,-0.17856646169317128,-0.025946622683264167,-0.22310268978208245,-0.013585017794744171
f1,-0.12081053774925839,1.0,0.6623062599462258,0.2804490688095935,0.0239470660239574,0.4101901888617748,-0.038389036657011294
f2,-0.13555297567926985,0.6623062599462258,1.0,0.3413429136742794,0.0369990490595172,0.32572836718825154,-0.020538120018398085
f3,-0.17856646169317128,0.2804490688095935,0.3413429136742794,1.0,0.4540821614408124,0.12626773105146957,-0.009636450854226087
f4,-0.025946622683264173,0.023947066023957388,0.03699904905951728,0.4540821614408143,1.0,0.0721011218040646,-0.0007452186905201517
f5,-0.22310268978208259,0.4101901888617742,0.32572836718825127,0.12626773105146966,0.0721011218040646,1.0,0.4337562071319507
f6,-0.013585017794744171,-0.038389036657011294,-0.02053812001839807,-0.009636450854226089,-0.0007452186905201517,0.4337562071319507,1.0
