rank,idx,feature,r_ft,abs_r_ft
1,0,f0,0.24447811044345158,0.24447811044345158
2,2,f2,0.20252295354455863,0.20252295354455863
3,1,f1,0.13218876236282673,0.13218876236282673
4,5,f5,0.12001174023024164,0.12001174023024164
5,3,f3,0.09993128863475795,0.09993128863475795
6,4,f4,0.05066675568488757,0.05066675568488757
7,6,f6,0.0366740086612809,0.0366740086612809
