,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.13594851876400452,-0.15449817564181936,-0.18607513944312482,-0.024238146884457995,-0.22060971302516388,-0.022150344150549253
f1,-0.13594851876400452,1.0,0.6558916377673604,0.29613260292422366,0.022353731631856357,0.42809953694122005,-0.04206490688421558
f2,-0.15449817564181936,0.6558916377673604,1.0,0.36470540618720904,0.03453018708871981,0.3401735562920118,-0.021873516876533654
f3,-0.18607513944312482,0.29613260292422366,0.36470540618720904,1.0,0.4064955764820335,0.12592396826114116,-0.01077692014941957
f4,-0.024238146884457964,0.022353731631856395,0.03453018708871984,0.4064955764820324,1.0,0.06656989911733298,-0.0007480549548621108
f5,-0.22060971302516372,0.42809953694122044,0.34017355629201157,0.12592396826114116,0.06656989911733298,1.0,0.4012092652272824
f6,-0.022150344150549256,-0.042064906884215575,-0.021873516876533657,-0.010776920149419571,-0.0007480549548621108,0.4012092652272824,1.0
