,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.15385320522574134,-0.18027452901013608,-0.19187013663961108,-0.029024457298279162,-0.21589797148980439,-0.024286534541772656
f1,-0.15385320522574134,1.0,0.6503305659894831,0.3101018671964527,0.025890489982894203,0.4329593973008671,-0.0508298539484299
f2,-0.18027452901013608,0.6503305659894831,1.0,0.3800065277077301,0.04005412314217948,0.3485867123933645,-0.025719648617797835
f3,-0.19187013663961108,0.3101018671964527,0.3800065277077301,1.0,0.440352237439628,0.11258163245995402,-0.013032896437974138
f4,-0.029024457298279165,0.025890489982894185,0.040054123142179376,0.44035223743962826,1.0,0.05288191836296661,-0.001026505997547275
f5,-0.2158979714898043,0.4329593973008682,0.34858671239336364,0.11258163245995423,0.05288191836296661,1.0,0.3774689863857308
f6,-0.02428653454177265,-0.05082985394842995,-0.025719648617797814,-0.013032896437974152,-0.001026505997547275,0.3774689863857308,1.0
