,f0,f1,f2,f3,f4,f5,f6
f0,1.0,-0.11347879553198359,-0.1449290828895609,-0.16092989961471174,-0.044576002560499296,-0.22360285661162413,-0.021127911160965667
f1,-0.11347879553198359,1.0,0.670704557885329,0.2403832342985765,0.037732421009153236,0.43874930292427433,-0.04458565638531861
f2,-0.1449290828895609,0.670704557885329,1.0,0.29220669638391383,0.05664138856663456,0.3582130489740361,-0.023780526961580745
f3,-0.16092989961471174,0.2403832342985765,0.29220669638391383,1.0,0.6836054600590412,0.08562405017250349,-0.009045103140722962
f4,-0.0445760025604993,0.037732421009153264,0.056641388566634615,0.6836054600590452,1.0,0.03720534338454468,-0.0013372274126515447
f5,-0.22360285661162418,0.4387493029242738,0.35821304897403633,0.08562405017250353,0.03720534338454468,1.0,0.4569662827801075
f6,-0.021127911160965664,-0.04458565638531861,-0.023780526961580728,-0.00904510314072296,-0.0013372274126515447,0.4569662827801075,1.0
