rank,idx,feature,weight
1,5,f5,0.18625126059978084
2,3,f3,0.16909321125387838
3,6,f6,0.1586237769026132
4,4,f4,0.14424094032563078
5,1,f1,0.13548417423808418
6,2,f2,0.13156403962848628
7,0,f0,0.0747425970515263
