rank,idx,feature,r_ft,abs_r_ft
1,1,f1,-0.21617423217391207,0.21617423217391207
2,0,f0,0.15260215058378993,0.15260215058378993
3,2,f2,-0.13210991550911538,0.13210991550911538
4,5,f5,-0.08951606019807619,0.08951606019807619
5,6,f6,-0.02718222454790157,0.02718222454790157
6,3,f3,-0.01401855848210008,0.01401855848210008
7,4,f4,-0.003905429006138472,0.003905429006138472
