rank,idx,feature,r_ft,abs_r_ft
1,1,f1,-0.2086437244668911,0.2086437244668911
2,0,f0,0.18483121614117645,0.18483121614117645
3,2,f2,-0.1317563574818317,0.1317563574818317
4,3,f3,-0.062237716591411654,0.062237716591411654
5,5,f5,-0.054347713621734406,0.054347713621734406
6,6,f6,-0.025196054276622748,0.025196054276622748
7,4,f4,0.0,0.0
