,f0,f1,f2,f3,f4,f5,f6
f0,1.0,0.004863823504961219,-0.03258751437772847,-0.11264607127389153,0.0,-0.13542271386558655,0.0033130612693021734
f1,0.004863823504961219,1.0,0.7276264823056285,0.23109080392475187,0.0,0.28370153009838744,-0.036074947488032645
f2,-0.03258751437772847,0.7276264823056285,1.0,0.2564486563291749,0.0,0.23911335064928932,-0.021149406888541656
f3,-0.11264607127389153,0.23109080392475187,0.2564486563291749,1.0,0.0,0.11074907315596372,-0.008387182439558275
f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f5,-0.13542271386558652,0.28370153009838806,0.23911335064928915,0.1107490731559638,0.0,1.0,0.7058956175562547
f6,0.003313061269302173,-0.036074947488032645,-0.02114940688854163,-0.008387182439558277,0.0,0.7058956175562547,1.0
